name,surname,born,died,birthplace,motivation,category,year
Torsten N.,Wiesel,1924-06-03,0000-00-00,Sweden,for their discoveries concerning information processing in the visual system,medicine,1981
Sune K.,Bergström,1916-01-10,2004-08-15,Sweden,for their discoveries concerning prostaglandins and related biologically active substances,medicine,1982
Bengt I.,Samuelsson,1934-05-21,0000-00-00,Sweden,for their discoveries concerning prostaglandins and related biologically active substances,medicine,1982
John R.,Vane,1927-03-29,2004-11-19,United Kingdom,for their discoveries concerning prostaglandins and related biologically active substances,medicine,1982
Barbara,McClintock,1902-06-16,1992-09-02,USA,for her discovery of mobile genetic elements,medicine,1983
Niels K.,Jerne,1911-12-23,1994-10-07,United Kingdom,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies,medicine,1984
Georges J.F.,Köhler,1946-04-17,1995-03-01,Germany,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies,medicine,1984
César,Milstein,1927-10-08,2002-03-24,Argentina,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies,medicine,1984
Michael S.,Brown,1941-04-13,0000-00-00,USA,for their discoveries concerning the regulation of cholesterol metabolism,medicine,1985
Joseph L.,Goldstein,1940-04-18,0000-00-00,USA,for their discoveries concerning the regulation of cholesterol metabolism,medicine,1985
Stanley,Cohen,1922-11-17,2020-02-05,USA,for their discoveries of growth factors,medicine,1986
Rita,Levi-Montalcini,1909-04-22,2012-12-30,Italy,for their discoveries of growth factors,medicine,1986
Susumu,Tonegawa,1939-09-05,0000-00-00,Japan,for his discovery of the genetic principle for generation of antibody diversity,medicine,1987
Sir James W.,Black,1924-06-14,2010-03-21,Scotland,for their discoveries of important principles for drug treatment,medicine,1988
Gertrude B.,Elion,1918-01-23,1999-02-21,USA,for their discoveries of important principles for drug treatment,medicine,1988
George H.,Hitchings,1905-04-18,1998-02-27,USA,for their discoveries of important principles for drug treatment,medicine,1988
J. Michael,Bishop,1936-02-22,0000-00-00,USA,for their discovery of the cellular origin of retroviral oncogenes,medicine,1989
Harold E.,Varmus,1939-12-18,0000-00-00,USA,for their discovery of the cellular origin of retroviral oncogenes,medicine,1989
Joseph E.,Murray,1919-04-01,2012-11-26,USA,for their discoveries concerning organ and cell transplantation in the treatment of human disease,medicine,1990
E. Donnall,Thomas,1920-03-15,2012-10-20,USA,for their discoveries concerning organ and cell transplantation in the treatment of human disease,medicine,1990
Erwin,Neher,1944-03-20,0000-00-00,Germany,for their discoveries concerning the function of single ion channels in cells,medicine,1991
Bert,Sakmann,1942-06-12,0000-00-00,Germany,for their discoveries concerning the function of single ion channels in cells,medicine,1991
Edmond H.,Fischer,1920-04-06,2021-08-27,China,for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism,medicine,1992
Edwin G.,Krebs,1918-06-06,2009-12-21,USA,for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism,medicine,1992
Richard J.,Roberts,1943-09-06,0000-00-00,United Kingdom,for their discoveries of split genes,medicine,1993
Phillip A.,Sharp,1944-06-06,0000-00-00,USA,for their discoveries of split genes,medicine,1993
Alfred G.,Gilman,1941-07-01,2015-12-23,USA,for their discovery of G-proteins and the role of these proteins in signal transduction in cells,medicine,1994
Martin,Rodbell,1925-12-01,1998-12-07,USA,for their discovery of G-proteins and the role of these proteins in signal transduction in cells,medicine,1994
Edward B.,Lewis,1918-05-20,2004-07-21,USA,for their discoveries concerning the genetic control of early embryonic development,medicine,1995
Christiane,Nüsslein-Volhard,1942-10-20,0000-00-00,Germany,for their discoveries concerning the genetic control of early embryonic development,medicine,1995
Eric F.,Wieschaus,1947-06-08,0000-00-00,USA,for their discoveries concerning the genetic control of early embryonic development,medicine,1995
Peter C.,Doherty,1940-10-15,0000-00-00,Australia,for their discoveries concerning the specificity of the cell mediated immune defence,medicine,1996
Rolf M.,Zinkernagel,1944-01-06,0000-00-00,Switzerland,for their discoveries concerning the specificity of the cell mediated immune defence,medicine,1996
Stanley B.,Prusiner,1942-05-28,0000-00-00,USA,for his discovery of Prions - a new biological principle of infection,medicine,1997
Robert F.,Furchgott,1916-06-04,2009-05-19,USA,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system,medicine,1998
Louis J.,Ignarro,1941-05-31,0000-00-00,USA,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system,medicine,1998
Ferid,Murad,1936-09-14,0000-00-00,USA,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system,medicine,1998
Günter,Blobel,1936-05-21,2018-02-18,Germany (now Poland),for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell,medicine,1999
Henry,Dunant,1828-05-08,1910-10-30,Switzerland,for his humanitarian efforts to help wounded soldiers and create international understanding,peace,1901
Frédéric,Passy,1822-05-20,1912-06-12,France,"for his lifelong work for international peace conferences, diplomacy and arbitration",peace,1901
Élie,Ducommun,1833-02-19,1906-12-07,Switzerland,for his untiring and skilful directorship of the Bern Peace Bureau,peace,1902
Albert,Gobat,1843-05-21,1914-03-16,Switzerland,for his eminently practical administration of the Inter-Parliamentary Union,peace,1902
Randal,Cremer,1828-03-18,1908-07-22,United Kingdom,for his longstanding and devoted effort in favour of the ideas of peace and arbitration,peace,1903
Institute of International Law,,1873-00-00,0000-00-00,,for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane,peace,1904
Bertha,von Suttner,1843-06-09,1914-06-21,Austrian Empire (now Czech Republic),for her audacity to oppose the horrors of war,peace,1905
Theodore,Roosevelt,1858-10-27,1919-01-06,USA,"for his role in bringing to an end the bloody war recently waged between two of the world's great powers, Japan and Russia",peace,1906
Ernesto Teodoro,Moneta,1833-09-20,1918-02-10,Austrian Empire (now Italy),"for his work in the press and in peace meetings, both public and private, for an understanding between France and Italy",peace,1907
Louis,Renault,1843-05-21,1918-02-08,France,for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences,peace,1907
Klas Pontus,Arnoldson,1844-10-27,1916-02-20,Sweden,"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors",peace,1908
Fredrik,Bajer,1837-04-21,1922-01-22,Denmark,"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors",peace,1908
Auguste,Beernaert,1829-07-26,1912-10-06,Belgium,for their prominent position in the international movement for peace and arbitration,peace,1909
Paul Henri,d'Estournelles de Constant,1852-11-22,1924-05-15,France,for their prominent position in the international movement for peace and arbitration,peace,1909
Permanent International Peace Bureau,,1891-00-00,0000-00-00,,"for acting as a link between the peace societies of the various countries, and helping them to organize the world rallies of the international peace movement",peace,1910
Tobias,Asser,1838-04-28,1913-07-29,the Netherlands,"for his role as co-founder of the Institut de droit international, initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague, and pioneer in the field of international legal relations",peace,1911
Alfred,Fried,1864-11-11,1921-05-04,Austria,"for his effort to expose and fight what he considers to be the main cause of war, namely, the anarchy in international relations",peace,1911
Elihu,Root,1845-02-15,1937-02-07,USA,for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries,peace,1912
Henri,La Fontaine,1854-04-22,1943-05-14,Belgium,for his unparalleled contribution to the organization of peaceful internationalism,peace,1913
International Committee of the Red Cross,,1863-00-00,0000-00-00,,for the efforts to take care of wounded soldiers and prisoners of war and their families,peace,1917
International Committee of the Red Cross,,1863-00-00,0000-00-00,,for the efforts to take care of wounded soldiers and prisoners of war and their families,peace,1917
International Committee of the Red Cross,,1863-00-00,0000-00-00,,for the efforts to take care of wounded soldiers and prisoners of war and their families,peace,1917
Woodrow,Wilson,1856-12-28,1924-02-03,USA,for his role as founder of the League of Nations,peace,1919
Léon,Bourgeois,1851-05-21,1925-09-29,France,for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations,peace,1920
Hjalmar,Branting,1860-11-23,1925-02-24,Sweden,for their lifelong contributions to the cause of peace and organized internationalism,peace,1921
Christian,Lange,1869-09-17,1938-12-11,Norway,for their lifelong contributions to the cause of peace and organized internationalism,peace,1921
Fridtjof,Nansen,1861-10-10,1930-05-13,Norway,"for his leading role in the repatriation of prisoners of war, in international relief work and as the League of Nations' High Commissioner for refugees",peace,1922
Sir Austen,Chamberlain,1863-10-16,1937-03-16,United Kingdom,for his crucial role in bringing about the Locarno Treaty,peace,1925
Charles G.,Dawes,1865-08-27,1951-04-23,USA,for his crucial role in bringing about the Dawes Plan,peace,1925
Aristide,Briand,1862-03-28,1932-03-07,France,for their crucial role in bringing about the Locarno Treaty,peace,1926
Gustav,Stresemann,1878-05-10,1929-10-03,Germany,for their crucial role in bringing about the Locarno Treaty,peace,1926
Ferdinand,Buisson,1841-12-20,1932-02-16,France,for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation,peace,1927
Ludwig,Quidde,1858-03-23,1941-03-04,Germany,for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation,peace,1927
Frank B.,Kellogg,1856-12-22,1937-12-21,USA,for his crucial role in bringing about the Briand-Kellogg Pact,peace,1929
Nathan,Söderblom,1866-01-15,1931-07-12,Sweden,for promoting Christian unity and helping create 'that new attitude of mind which is necessary if peace between nations is to become reality',peace,1930
Jane,Addams,1860-09-06,1935-05-21,USA,for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind,peace,1931
Nicholas Murray,Butler,1862-04-02,1947-12-07,USA,for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind,peace,1931
Sir Norman,Angell,1872-12-26,1967-10-07,United Kingdom,for having exposed by his pen the illusion of war and presented a convincing plea for international cooperation and peace,peace,1933
Arthur,Henderson,1863-09-13,1935-10-20,Scotland,for his untiring struggle and his courageous efforts as Chairman of the League of Nations Disarmament Conference 1931-34,peace,1934
Carl,von Ossietzky,1889-10-03,1938-05-04,Germany,for his burning love for freedom of thought and expression and his valuable contribution to the cause of peace,peace,1935
Carlos,Saavedra Lamas,1878-11-01,1959-05-05,Argentina,"for his role as father of the Argentine Antiwar Pact of 1933, which he also used as a means to mediate peace between Paraguay and Bolivia in 1935",peace,1936
Robert,Cecil,1864-09-14,1958-11-24,United Kingdom,"for his tireless effort in support of the League of Nations, disarmament and peace",peace,1937
Nansen International Office for Refugees,,1921-00-00,0000-00-00,,for having carried on the work of Fridtjof Nansen to the benefit of refugees across Europe,peace,1938
Cordell,Hull,1871-10-02,1955-07-23,USA,for his indefatigable work for international understanding and his pivotal role in establishing the United Nations,peace,1945
Emily Greene,Balch,1867-01-08,1961-01-09,USA,for her lifelong work for the cause of peace,peace,1946
John R.,Mott,1865-05-25,1955-01-31,USA,for his contribution to the creation of a peace-promoting religious brotherhood across national boundaries,peace,1946
Friends Service Council,,1647-00-00,0000-00-00,,"for their pioneering work in the international peace movement and compassionate effort to relieve human suffering, thereby promoting the fraternity between nations",peace,1947
American Friends Service Committee,,1917-00-00,0000-00-00,,"for their pioneering work in the international peace movement and compassionate effort to relieve human suffering, thereby promoting the fraternity between nations",peace,1947
John,Boyd Orr,1880-09-23,1971-06-25,Scotland,"for his lifelong effort to conquer hunger and want, thereby helping to remove a major cause of military conflict and war",peace,1949
Ralph,Bunche,1904-08-07,1971-12-09,USA,for his work as mediator in Palestine in 1948-1949,peace,1950
Léon,Jouhaux,1879-07-01,1954-04-28,France,for having devoted his life to the fight against war through the promotion of social justice and brotherhood among men and nations,peace,1951
Albert,Schweitzer,1875-01-14,1965-09-04,Germany (now France),"for his altruism, reverence for life, and tireless humanitarian work which has helped making the idea of brotherhood between men and nations a living one",peace,1952
George C.,Marshall,1880-12-31,1959-10-16,USA,for proposing and supervising the plan for the economic recovery of Europe,peace,1953
Office of the United Nations High Commissioner for Refugees,,1950-12-14,0000-00-00,,for its efforts to heal the wounds of war by providing help and protection to refugees all over the world,peace,1954
Office of the United Nations High Commissioner for Refugees,,1950-12-14,0000-00-00,,for its efforts to heal the wounds of war by providing help and protection to refugees all over the world,peace,1954
Lester Bowles,Pearson,1897-04-23,1972-12-27,Canada,for his crucial contribution to the deployment of a United Nations Emergency Force in the wake of the Suez Crisis,peace,1957
Georges,Pire,1910-02-10,1969-01-30,Belgium,for his efforts to help refugees to leave their camps and return to a life of freedom and dignity,peace,1958
Philip,Noel-Baker,1889-11-01,1982-10-08,United Kingdom,for his longstanding contribution to the cause of disarmament and peace,peace,1959
Albert,Lutuli,1898-00-00,1967-07-21,Southern Rhodesia (now Zimbabwe),for his non-violent struggle against apartheid,peace,1960
Dag,Hammarskjöld,1905-07-29,1961-09-18,Sweden,"for developing the UN into an effective and constructive international organization, capable of giving life to the principles and aims expressed in the UN Charter",peace,1961
League of Red Cross Societies,,1919-00-00,0000-00-00,,for promoting the principles of the Geneva Convention and cooperation with the UN,peace,1963
Martin Luther,King Jr.,1929-01-15,1968-04-04,USA,for his non-violent struggle for civil rights for the Afro-American population,peace,1964
United Nations Children's Fund,,1946-00-00,0000-00-00,,for its effort to enhance solidarity between nations and reduce the difference between rich and poor states,peace,1965
René,Cassin,1887-10-05,1976-02-20,France,for his struggle to ensure the rights of man as stipulated in the UN Declaration,peace,1968
International Labour Organization,,1919-00-00,0000-00-00,,for creating international legislation insuring certain norms for working conditions in every country,peace,1969
Norman,Borlaug,1914-03-25,2009-09-12,USA,for having given a well-founded hope - the green revolution,peace,1970
Willy,Brandt,1913-12-18,1992-10-08,Germany,for paving the way for a meaningful dialogue between East and West,peace,1971
Henry,Kissinger,1923-05-27,0000-00-00,Germany,for jointly having negotiated a cease fire in Vietnam in 1973,peace,1973
Le Duc Tho,,1911-10-14,1990-10-13,Vietnam,for jointly having negotiated a cease fire in Vietnam in 1973,peace,1973
Seán,MacBride,1904-01-26,1988-01-15,France,for his efforts to secure and develop human rights throughout the world,peace,1974
Eisaku,Sato,1901-03-27,1975-06-03,Japan,for his contribution to stabilize conditions in the Pacific rim area and for signing the Nuclear Non-Proliferation Treaty,peace,1974
Andrei,Sakharov,1921-05-21,1989-12-14,Russia,"for his struggle for human rights in the Soviet Union, for disarmament and cooperation between all nations",peace,1975
Betty,Williams,1943-05-22,2020-03-17,Northern Ireland,for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland,peace,1976
Mairead,Corrigan,1944-01-27,0000-00-00,Northern Ireland,for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland,peace,1976
Amnesty International,,1961-00-00,0000-00-00,,for worldwide respect for human rights,peace,1977
Anwar,al-Sadat,1918-12-25,1981-10-06,Egypt,for jointly having negotiated peace between Egypt and Israel in 1978,peace,1978
Menachem,Begin,1913-08-16,1992-03-09,Russian Empire (now Belarus),for jointly having negotiated peace between Egypt and Israel in 1978,peace,1978
Anjezë Gonxhe,Bojaxhiu,1910-08-26,1997-09-05,Ottoman Empire (now North Macedonia),for her work for bringing help to suffering humanity,peace,1979
Adolfo,Pérez Esquivel,1931-11-26,0000-00-00,Argentina,"for being a source of inspiration to repressed people, especially in Latin America",peace,1980
Alva,Myrdal,1902-01-31,1986-02-01,Sweden,for their work for disarmament and nuclear and weapon-free zones,peace,1982
Alfonso,García Robles,1911-03-20,1991-09-02,Mexico,for their work for disarmament and nuclear and weapon-free zones,peace,1982
Lech,Walesa,1943-09-29,0000-00-00,Poland,for non-violent struggle for free trade unions and human rights in Poland,peace,1983
Desmond,Tutu,1931-10-07,2021-12-26,South Africa,for his role as a unifying leader figure in the non-violent campaign to resolve the problem of apartheid in South Africa,peace,1984
International Physicians for the Prevention of Nuclear War,,1980-00-00,0000-00-00,,for spreading authoritative information and by creating awareness of the catastrophic consequences of nuclear war,peace,1985
Elie,Wiesel,1928-09-30,2016-07-02,Romania,"for being a messenger to mankind: his message is one of peace, atonement and dignity",peace,1986
Oscar,Arias Sánchez,1940-09-13,0000-00-00,Costa Rica,for his work for lasting peace in Central America,peace,1987
United Nations Peacekeeping Forces,,1948-00-00,0000-00-00,,for preventing armed clashes and creating conditions for negotiations,peace,1988
Lhamo,Thondup,1935-07-06,0000-00-00,Tibet (now China),for advocating peaceful solutions based upon tolerance and mutual respect in order to preserve the historical and cultural heritage of his people,peace,1989
Mikhail,Gorbachev,1931-03-02,0000-00-00,USSR (now Russia),for the leading role he played in the radical changes in East-West relations,peace,1990
Aung San Suu Kyi,,1945-06-19,0000-00-00,Burma (now Myanmar),for her non-violent struggle for democracy and human rights,peace,1991
Rigoberta,Menchú Tum,1959-01-09,0000-00-00,Guatemala,for her struggle for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples,peace,1992
Nelson,Mandela,1918-07-18,2013-12-05,South Africa,"for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa",peace,1993
F.W.,de Klerk,1936-03-18,2021-11-11,South Africa,"for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa",peace,1993
Yasser,Arafat,1929-08-24,2004-11-11,Egypt,for their efforts to create peace in the Middle East,peace,1994
Shimon,Peres,1923-08-16,2016-09-28,Poland (now Belarus),for their efforts to create peace in the Middle East,peace,1994
Yitzhak,Rabin,1922-03-01,1995-11-04,British Mandate of Palestine (now Israel),for their efforts to create peace in the Middle East,peace,1994
Joseph,Rotblat,1908-11-04,2005-08-31,Russian Empire (now Poland),"for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms",peace,1995
Pugwash Conferences on Science and World Affairs,,1957-00-00,0000-00-00,,"for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms",peace,1995
Carlos Filipe Ximenes,Belo,1948-02-03,0000-00-00,East Timor,for their work towards a just and peaceful solution to the conflict in East Timor,peace,1996
José,Ramos-Horta,1949-12-26,0000-00-00,East Timor,for their work towards a just and peaceful solution to the conflict in East Timor,peace,1996
International Campaign to Ban Landmines,,1992-00-00,0000-00-00,,for their work for the banning and clearing of anti-personnel mines,peace,1997
Jody,Williams,1950-10-09,0000-00-00,USA,for their work for the banning and clearing of anti-personnel mines,peace,1997
John,Hume,1937-01-18,2020-08-03,Northern Ireland,for their efforts to find a peaceful solution to the conflict in Northern Ireland,peace,1998
David,Trimble,1944-10-15,2022-07-25,Northern Ireland,for their efforts to find a peaceful solution to the conflict in Northern Ireland,peace,1998
Doctors Without Borders,,1971-00-00,0000-00-00,,in recognition of the organisation's pioneering humanitarian work on several continents,peace,1999
Sully,Prudhomme,1839-03-16,1907-09-07,France,"in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect",literature,1901
Theodor,Mommsen,1817-11-30,1903-11-01,Schleswig (now Germany),"the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>",literature,1902
Bjørnstjerne,Bjørnson,1832-12-08,1910-04-26,Norway,"as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit",literature,1903
Frédéric,Mistral,1830-09-08,1914-03-25,France,"in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist",literature,1904
José,Echegaray,1832-04-19,1916-09-04,Spain,"in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama",literature,1904
Henryk,Sienkiewicz,1846-05-05,1916-11-15,Poland,because of his outstanding merits as an epic writer,literature,1905
Giosuè,Carducci,1835-07-27,1907-02-16,Tuscany (now Italy),"not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces",literature,1906
Rudyard,Kipling,1865-12-30,1936-01-18,British India (now India),"in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author",literature,1907
Rudolf,Eucken,1846-01-05,1926-09-14,East Friesland (now Germany),"in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life",literature,1908
Selma,Lagerlöf,1858-11-20,1940-03-16,Sweden,"in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings",literature,1909
Paul,Heyse,1830-03-15,1914-04-02,Prussia (now Germany),"as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories",literature,1910
Maurice,Maeterlinck,1862-08-29,1949-05-06,Belgium,"in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations",literature,1911
Gerhart,Hauptmann,1862-11-15,1946-06-06,Prussia (now Poland),"primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art",literature,1912
Rabindranath,Tagore,1861-05-07,1941-08-07,India,"because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West",literature,1913
Romain,Rolland,1866-01-29,1944-12-30,France,as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings,literature,1915
Verner,von Heidenstam,1859-07-06,1940-05-20,Sweden,in recognition of his significance as the leading representative of a new era in our literature,literature,1916
Karl,Gjellerup,1857-06-02,1919-10-11,Denmark,"for his varied and rich poetry, which is inspired by lofty ideals",literature,1917
Henrik,Pontoppidan,1857-07-24,1943-08-21,Denmark,for his authentic descriptions of present-day life in Denmark,literature,1917
Carl,Spitteler,1845-04-24,1924-12-29,Switzerland,"in special appreciation of his epic, <I>Olympian Spring</I>",literature,1919
Knut,Hamsun,1859-08-04,1952-02-19,Norway,"for his monumental work, <I>Growth of the Soil</I>",literature,1920
Anatole,France,1844-04-16,1924-10-12,France,"in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament",literature,1921
Jacinto,Benavente,1866-08-12,1954-07-14,Spain,for the happy manner in which he has continued the illustrious traditions of the Spanish drama,literature,1922
William Butler,Yeats,1865-06-13,1939-01-28,Ireland,"for his always inspired poetry, which in a highly artistic form gives expression to the spirit of a whole nation",literature,1923
Wladyslaw,Reymont,1867-05-07,1925-12-05,Russian Empire (now Poland),"for his great national epic, <I>The Peasants</I>",literature,1924
George Bernard,Shaw,1856-07-26,1950-11-02,Ireland,"for his work which is marked by both idealism and humanity, its stimulating satire often being infused with a singular poetic beauty",literature,1925
Grazia,Deledda,1871-09-27,1936-08-15,Italy,for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general,literature,1926
Henri,Bergson,1859-10-18,1941-01-04,France,in recognition of his rich and vitalizing ideas and the brilliant skill with which they have been presented,literature,1927
Sigrid,Undset,1882-05-20,1949-06-10,Denmark,principally for her powerful descriptions of Northern life during the Middle Ages,literature,1928
Thomas,Mann,1875-06-06,1955-08-12,Germany,"principally for his great novel, <I>Buddenbrooks</I>, which has won steadily increased recognition as one of the classic works of contemporary literature",literature,1929
Sinclair,Lewis,1885-02-07,1951-01-10,USA,"for his vigorous and graphic art of description and his ability to create, with wit and humour, new types of characters",literature,1930
Erik Axel,Karlfeldt,1864-07-20,1931-04-08,Sweden,The poetry of Erik Axel Karlfeldt,literature,1931
John,Galsworthy,1867-08-14,1933-01-31,United Kingdom,for his distinguished art of narration which takes its highest form in <I>The Forsyte Saga</I>,literature,1932
Ivan,Bunin,1870-10-22,1953-11-08,Russia,for the strict artistry with which he has carried on the classical Russian traditions in prose writing,literature,1933
Luigi,Pirandello,1867-06-28,1936-12-10,Italy,for his bold and ingenious revival of dramatic and scenic art,literature,1934
Eugene,O'Neill,1888-10-16,1953-11-27,USA,"for the power, honesty and deep-felt emotions of his dramatic works, which embody an original concept of tragedy",literature,1936
Roger,Martin du Gard,1881-03-23,1958-08-22,France,for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel-cycle <I>Les Thibault</I>,literature,1937
Pearl,Buck,1892-06-26,1973-03-06,USA,for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces,literature,1938
Frans Eemil,Sillanpää,1888-09-16,1964-06-03,Russian Empire (now Finland),for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature,literature,1939
Johannes V.,Jensen,1873-01-20,1950-11-25,Denmark,"for the rare strength and fertility of his poetic imagination with which is combined an intellectual curiosity of wide scope and a bold, freshly creative style",literature,1944
Gabriela,Mistral,1889-04-07,1957-01-10,Chile,"for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world",literature,1945
Hermann,Hesse,1877-07-02,1962-08-09,Germany,"for his inspired writings which, while growing in boldness and penetration, exemplify the classical humanitarian ideals and high qualities of style",literature,1946
André,Gide,1869-11-22,1951-02-19,France,"for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight",literature,1947
T.S.,Eliot,1888-09-26,1965-01-04,USA,"for his outstanding, pioneer contribution to present-day poetry",literature,1948
William,Faulkner,1897-09-25,1962-07-06,USA,for his powerful and artistically unique contribution to the modern American novel,literature,1949
Bertrand,Russell,1872-05-18,1970-02-02,United Kingdom,in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought,literature,1950
Pär,Lagerkvist,1891-05-23,1974-07-11,Sweden,for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind,literature,1951
François,Mauriac,1885-10-11,1970-09-01,France,for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life,literature,1952
Winston,Churchill,1874-11-30,1965-01-24,United Kingdom,for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values,literature,1953
Ernest,Hemingway,1899-07-21,1961-07-02,USA,"for his mastery of the art of narrative, most recently demonstrated in <I>The Old Man and the Sea,</I> and for the influence that he has exerted on contemporary style",literature,1954
Halldór,Laxness,1902-04-23,1998-02-08,Iceland,for his vivid epic power which has renewed the great narrative art of Iceland,literature,1955
Juan Ramón,Jiménez,1881-12-24,1958-05-29,Spain,"for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity",literature,1956
Albert,Camus,1913-11-07,1960-01-04,French Algeria (now Algeria),"for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times",literature,1957
Boris,Pasternak,1890-02-10,1960-05-30,Russia,for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition,literature,1958
Salvatore,Quasimodo,1901-08-20,1968-06-14,Italy,"for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times",literature,1959
Saint-John,Perse,1887-05-31,1975-09-20,Guadeloupe Island,for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time,literature,1960
Ivo,Andric,1892-10-10,1975-03-13,Bosnia (now Bosnia and Herzegovina),for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country,literature,1961
John,Steinbeck,1902-02-27,1968-12-20,USA,"for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception",literature,1962
Giorgos,Seferis,1900-03-13,1971-09-20,Ottoman Empire (now Turkey),"for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture",literature,1963
Jean-Paul,Sartre,1905-06-21,1980-04-15,France,"for his work which, rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age",literature,1964
Mikhail,Sholokhov,1905-05-24,1984-02-21,Russia,"for the artistic power and integrity with which, in his epic of the Don, he has given expression to a historic phase in the life of the Russian people",literature,1965
Shmuel,Agnon,1888-07-17,1970-02-17,Austria-Hungary (now Ukraine),for his profoundly characteristic narrative art with motifs from the life of the Jewish people,literature,1966
Nelly,Sachs,1891-12-10,1970-05-12,Germany,"for her outstanding lyrical and dramatic writing, which interprets Israel's destiny with touching strength",literature,1966
